group	size	y	key	tooltip
1	6.3994134506406	48	S046 Mathematics Sem1	"Student: S046
Subject: Mathematics
Semester: Sem1
Grade: 48%
Study Hours: 8
Attendance: 68%"
1	7.38815906080325	64	S046 Physics Sem1	"Student: S046
Subject: Physics
Semester: Sem1
Grade: 64%
Study Hours: 11
Attendance: 70%"
1	7.67961834247065	64.2	S046 Chemistry Sem1	"Student: S046
Subject: Chemistry
Semester: Sem1
Grade: 64.2%
Study Hours: 12
Attendance: 66%"
1	8.47576125802733	72.8	S046 Biology Sem1	"Student: S046
Subject: Biology
Semester: Sem1
Grade: 72.8%
Study Hours: 15
Attendance: 71%"
1	8.22171016838255	68.8	S046 English Sem1	"Student: S046
Subject: English
Semester: Sem1
Grade: 68.8%
Study Hours: 14
Attendance: 76%"
1	8.22171016838255	73.9	S046 History Sem1	"Student: S046
Subject: History
Semester: Sem1
Grade: 73.9%
Study Hours: 14
Attendance: 78%"
1	6.3994134506406	63.1	S046 Mathematics Sem2	"Student: S046
Subject: Mathematics
Semester: Sem2
Grade: 63.1%
Study Hours: 8
Attendance: 72%"
1	7.08000508000762	60.3	S046 Physics Sem2	"Student: S046
Subject: Physics
Semester: Sem2
Grade: 60.3%
Study Hours: 10
Attendance: 67%"
1	6.01609664451249	64	S046 Chemistry Sem2	"Student: S046
Subject: Chemistry
Semester: Sem2
Grade: 64%
Study Hours: 7
Attendance: 71%"
1	8.22171016838255	73.2	S046 Biology Sem2	"Student: S046
Subject: Biology
Semester: Sem2
Grade: 73.2%
Study Hours: 14
Attendance: 73%"
1	7.95683397181271	65.7	S046 English Sem2	"Student: S046
Subject: English
Semester: Sem2
Grade: 65.7%
Study Hours: 13
Attendance: 74%"
1	7.08000508000762	61.8	S046 History Sem2	"Student: S046
Subject: History
Semester: Sem2
Grade: 61.8%
Study Hours: 10
Attendance: 70%"
1	7.08000508000762	58.3	S046 Mathematics Sem3	"Student: S046
Subject: Mathematics
Semester: Sem3
Grade: 58.3%
Study Hours: 10
Attendance: 60%"
1	9.62000762001143	64.7	S046 Physics Sem3	"Student: S046
Subject: Physics
Semester: Sem3
Grade: 64.7%
Study Hours: 20
Attendance: 76%"
1	8.72021505032247	80.7	S046 Chemistry Sem3	"Student: S046
Subject: Chemistry
Semester: Sem3
Grade: 80.7%
Study Hours: 16
Attendance: 81%"
1	8.22171016838255	75.4	S046 Biology Sem3	"Student: S046
Subject: Biology
Semester: Sem3
Grade: 75.4%
Study Hours: 14
Attendance: 80%"
1	8.47576125802733	59.8	S046 English Sem3	"Student: S046
Subject: English
Semester: Sem3
Grade: 59.8%
Study Hours: 15
Attendance: 71%"
1	8.95608343640252	76.5	S046 History Sem3	"Student: S046
Subject: History
Semester: Sem3
Grade: 76.5%
Study Hours: 17
Attendance: 72%"
1	7.67961834247065	69.6	S046 Mathematics Sem4	"Student: S046
Subject: Mathematics
Semester: Sem4
Grade: 69.6%
Study Hours: 12
Attendance: 78%"
1	6.75190963311492	71.7	S046 Physics Sem4	"Student: S046
Subject: Physics
Semester: Sem4
Grade: 71.7%
Study Hours: 9
Attendance: 66%"
1	7.67961834247065	65	S046 Chemistry Sem4	"Student: S046
Subject: Chemistry
Semester: Sem4
Grade: 65%
Study Hours: 12
Attendance: 76%"
