group	size	x	y	key	tooltip
1	4.87298334620742	19	79.6	S001 Mathematics Sem8	"Student: S001
Subject: Mathematics
Grade: 79.6%
Study Hours: 19
Attendance: 84%"
1	4.35410196624968	15	71	S002 Mathematics Sem8	"Student: S002
Subject: Mathematics
Grade: 71%
Study Hours: 15
Attendance: 78%"
1	4.16227766016838	18	71.8	S003 Mathematics Sem8	"Student: S003
Subject: Mathematics
Grade: 71.8%
Study Hours: 18
Attendance: 76%"
1	4.44601218802256	12	65.3	S004 Mathematics Sem8	"Student: S004
Subject: Mathematics
Grade: 65.3%
Study Hours: 12
Attendance: 79%"
1	3.85043856274785	17	77.8	S005 Mathematics Sem8	"Student: S005
Subject: Mathematics
Grade: 77.8%
Study Hours: 17
Attendance: 73%"
1	4.25960120260132	14	85.3	S006 Mathematics Sem8	"Student: S006
Subject: Mathematics
Grade: 85.3%
Study Hours: 14
Attendance: 77%"
1	4.62284418654736	17	74.2	S007 Mathematics Sem8	"Student: S007
Subject: Mathematics
Grade: 74.2%
Study Hours: 17
Attendance: 81%"
1	4.35410196624968	13	72.8	S008 Mathematics Sem8	"Student: S008
Subject: Mathematics
Grade: 72.8%
Study Hours: 13
Attendance: 78%"
1	4.79143772202577	14	63	S009 Mathematics Sem8	"Student: S009
Subject: Mathematics
Grade: 63%
Study Hours: 14
Attendance: 83%"
1	3.09165006633519	11	61.6	S010 Mathematics Sem8	"Student: S010
Subject: Mathematics
Grade: 61.6%
Study Hours: 11
Attendance: 67%"
1	3.73861278752583	10	52	S011 Mathematics Sem8	"Student: S011
Subject: Mathematics
Grade: 52%
Study Hours: 10
Attendance: 72%"
1	5.40170421541475	17	78	S012 Mathematics Sem8	"Student: S012
Subject: Mathematics
Grade: 78%
Study Hours: 17
Attendance: 91%"
1	3.37170824512628	17	72.7	S013 Mathematics Sem8	"Student: S013
Subject: Mathematics
Grade: 72.7%
Study Hours: 17
Attendance: 69%"
1	3.23606797749979	11	73.5	S014 Mathematics Sem8	"Student: S014
Subject: Mathematics
Grade: 73.5%
Study Hours: 11
Attendance: 68%"
1	1	7	34.5	S015 Mathematics Sem8	"Student: S015
Subject: Mathematics
Grade: 34.5%
Study Hours: 7
Attendance: 60%"
1	4.35410196624968	13	77	S016 Mathematics Sem8	"Student: S016
Subject: Mathematics
Grade: 77%
Study Hours: 13
Attendance: 78%"
1	4.16227766016838	10	66	S017 Mathematics Sem8	"Student: S017
Subject: Mathematics
Grade: 66%
Study Hours: 10
Attendance: 76%"
1	4.87298334620742	18	79.3	S018 Mathematics Sem8	"Student: S018
Subject: Mathematics
Grade: 79.3%
Study Hours: 18
Attendance: 84%"
1	1	10	53.3	S019 Mathematics Sem8	"Student: S019
Subject: Mathematics
Grade: 53.3%
Study Hours: 10
Attendance: 60%"
1	3.37170824512628	6	58	S020 Mathematics Sem8	"Student: S020
Subject: Mathematics
Grade: 58%
Study Hours: 6
Attendance: 69%"
1	3.73861278752583	18	78.6	S021 Mathematics Sem8	"Student: S021
Subject: Mathematics
Grade: 78.6%
Study Hours: 18
Attendance: 72%"
