group	size	y	key	tooltip
1	6.07958941544842	47.8	S045 Mathematics Sem1	"Student: S045
Subject: Mathematics
Semester: Sem1
Grade: 47.8%
Study Hours: 8
Attendance: 65%"
1	6.32633674318044	51.4	S045 Physics Sem1	"Student: S045
Subject: Physics
Semester: Sem1
Grade: 51.4%
Study Hours: 9
Attendance: 65%"
1	6.32633674318044	54.5	S045 Chemistry Sem1	"Student: S045
Subject: Chemistry
Semester: Sem1
Grade: 54.5%
Study Hours: 9
Attendance: 67%"
1	5.17759855893389	45.5	S045 Biology Sem1	"Student: S045
Subject: Biology
Semester: Sem1
Grade: 45.5%
Study Hours: 5
Attendance: 65%"
1	5.51447422837485	53.7	S045 English Sem1	"Student: S045
Subject: English
Semester: Sem1
Grade: 53.7%
Study Hours: 6
Attendance: 60%"
1	5.17759855893389	56.7	S045 History Sem1	"Student: S045
Subject: History
Semester: Sem1
Grade: 56.7%
Study Hours: 5
Attendance: 69%"
1	6.07958941544842	54.1	S045 Mathematics Sem2	"Student: S045
Subject: Mathematics
Semester: Sem2
Grade: 54.1%
Study Hours: 8
Attendance: 70%"
1	6.55600355600534	51.8	S045 Physics Sem2	"Student: S045
Subject: Physics
Semester: Sem2
Grade: 51.8%
Study Hours: 10
Attendance: 60%"
1	3	45.8	S045 Chemistry Sem2	"Student: S045
Subject: Chemistry
Semester: Sem2
Grade: 45.8%
Study Hours: 2
Attendance: 63%"
1	5.51447422837485	50.1	S045 Biology Sem2	"Student: S045
Subject: Biology
Semester: Sem2
Grade: 50.1%
Study Hours: 6
Attendance: 65%"
1	6.07958941544842	52.6	S045 English Sem2	"Student: S045
Subject: English
Semester: Sem2
Grade: 52.6%
Study Hours: 8
Attendance: 72%"
1	5.51447422837485	56	S045 History Sem2	"Student: S045
Subject: History
Semester: Sem2
Grade: 56%
Study Hours: 6
Attendance: 68%"
1	6.55600355600534	52.9	S045 Mathematics Sem3	"Student: S045
Subject: Mathematics
Semester: Sem3
Grade: 52.9%
Study Hours: 10
Attendance: 62%"
1	3	44.7	S045 Physics Sem3	"Student: S045
Subject: Physics
Semester: Sem3
Grade: 44.7%
Study Hours: 2
Attendance: 66%"
1	6.07958941544842	47.4	S045 Chemistry Sem3	"Student: S045
Subject: Chemistry
Semester: Sem3
Grade: 47.4%
Study Hours: 8
Attendance: 64%"
1	6.55600355600534	58.8	S045 Biology Sem3	"Student: S045
Subject: Biology
Semester: Sem3
Grade: 58.8%
Study Hours: 10
Attendance: 80%"
1	7.1697837802689	61	S045 English Sem3	"Student: S045
Subject: English
Semester: Sem3
Grade: 61%
Study Hours: 13
Attendance: 66%"
1	6.55600355600534	58.9	S045 History Sem3	"Student: S045
Subject: History
Semester: Sem3
Grade: 58.9%
Study Hours: 10
Attendance: 71%"
1	6.55600355600534	53.9	S045 Mathematics Sem4	"Student: S045
Subject: Mathematics
Semester: Sem4
Grade: 53.9%
Study Hours: 10
Attendance: 61%"
1	5.17759855893389	54	S045 Physics Sem4	"Student: S045
Subject: Physics
Semester: Sem4
Grade: 54%
Study Hours: 5
Attendance: 62%"
1	3	49.5	S045 Chemistry Sem4	"Student: S045
Subject: Chemistry
Semester: Sem4
Grade: 49.5%
Study Hours: 2
Attendance: 64%"
1	3	48.1	S045 Biology Sem4	"Student: S045
Subject: Biology
Semester: Sem4
Grade: 48.1%
Study Hours: 2
Attendance: 61%"
1	7.70415053522573	64.7	S045 English Sem4	"Student: S045
Subject: English
Semester: Sem4
Grade: 64.7%
Study Hours: 16
Attendance: 69%"
1	6.55600355600534	55.3	S045 History Sem4	"Student: S045
Subject: History
Semester: Sem4
Grade: 55.3%
Study Hours: 10
Attendance: 69%"
1	6.97573283972945	55	S045 Mathematics Sem5	"Student: S045
Subject: Mathematics
Semester: Sem5
Grade: 55%
Study Hours: 12
Attendance: 68%"
1	6.07958941544842	57.8	S045 Physics Sem5	"Student: S045
Subject: Physics
Semester: Sem5
Grade: 57.8%
Study Hours: 8
Attendance: 65%"
1	4.25723711418742	58.3	S045 Chemistry Sem5	"Student: S045
Subject: Chemistry
Semester: Sem5
Grade: 58.3%
Study Hours: 3
Attendance: 67%"
1	6.55600355600534	63	S045 Biology Sem5	"Student: S045
Subject: Biology
Semester: Sem5
Grade: 63%
Study Hours: 10
Attendance: 72%"
1	6.07958941544842	51.9	S045 English Sem5	"Student: S045
Subject: English
Semester: Sem5
Grade: 51.9%
Study Hours: 8
Attendance: 62%"
1	5.51447422837485	58.2	S045 History Sem5	"Student: S045
Subject: History
Semester: Sem5
Grade: 58.2%
Study Hours: 6
Attendance: 73%"
1	5.51447422837485	54	S045 Mathematics Sem6	"Student: S045
Subject: Mathematics
Semester: Sem6
Grade: 54%
Study Hours: 6
Attendance: 63%"
1	4.77800177800267	56.2	S045 Physics Sem6	"Student: S045
Subject: Physics
Semester: Sem6
Grade: 56.2%
Study Hours: 4
Attendance: 64%"
1	6.32633674318044	56.8	S045 Chemistry Sem6	"Student: S045
Subject: Chemistry
Semester: Sem6
Grade: 56.8%
Study Hours: 9
Attendance: 67%"
1	6.55600355600534	61.4	S045 Biology Sem6	"Student: S045
Subject: Biology
Semester: Sem6
Grade: 61.4%
Study Hours: 10
Attendance: 67%"
1	7.1697837802689	67.4	S045 English Sem6	"Student: S045
Subject: English
Semester: Sem6
Grade: 67.4%
Study Hours: 13
Attendance: 73%"
1	6.77171134256227	67.5	S045 History Sem6	"Student: S045
Subject: History
Semester: Sem6
Grade: 67.5%
Study Hours: 11
Attendance: 73%"
1	6.32633674318044	49.9	S045 Mathematics Sem7	"Student: S045
Subject: Mathematics
Semester: Sem7
Grade: 49.9%
Study Hours: 9
Attendance: 60%"
1	6.32633674318044	48.1	S045 Physics Sem7	"Student: S045
Subject: Physics
Semester: Sem7
Grade: 48.1%
Study Hours: 9
Attendance: 62%"
1	7.1697837802689	61.8	S045 Chemistry Sem7	"Student: S045
Subject: Chemistry
Semester: Sem7
Grade: 61.8%
Study Hours: 13
Attendance: 73%"
1	6.32633674318044	66.1	S045 Biology Sem7	"Student: S045
Subject: Biology
Semester: Sem7
Grade: 66.1%
Study Hours: 9
Attendance: 70%"
1	7.35519711786779	68.2	S045 English Sem7	"Student: S045
Subject: English
Semester: Sem7
Grade: 68.2%
Study Hours: 14
Attendance: 74%"
1	6.07958941544842	69.6	S045 History Sem7	"Student: S045
Subject: History
Semester: Sem7
Grade: 69.6%
Study Hours: 8
Attendance: 71%"
1	7.35519711786779	60.6	S045 Mathematics Sem8	"Student: S045
Subject: Mathematics
Semester: Sem8
Grade: 60.6%
Study Hours: 14
Attendance: 66%"
1	6.97573283972945	67.9	S045 Physics Sem8	"Student: S045
Subject: Physics
Semester: Sem8
Grade: 67.9%
Study Hours: 12
Attendance: 82%"
1	6.32633674318044	62.6	S045 Chemistry Sem8	"Student: S045
Subject: Chemistry
Semester: Sem8
Grade: 62.6%
Study Hours: 9
Attendance: 65%"
1	5.51447422837485	53.8	S045 Biology Sem8	"Student: S045
Subject: Biology
Semester: Sem8
Grade: 53.8%
Study Hours: 6
Attendance: 68%"
1	5.81126765115875	62.6	S045 English Sem8	"Student: S045
Subject: English
Semester: Sem8
Grade: 62.6%
Study Hours: 7
Attendance: 62%"
1	6.07958941544842	60.6	S045 History Sem8	"Student: S045
Subject: History
Semester: Sem8
Grade: 60.6%
Study Hours: 8
Attendance: 68%"
