group	size	y	key	tooltip
1	5.5921060405355	43.4	S019 Mathematics Sem1	"Student: S019
Subject: Mathematics
Semester: Sem1
Grade: 43.4%
Study Hours: 6
Attendance: 60%"
1	3.79605302026775	41.6	S019 Physics Sem1	"Student: S019
Subject: Physics
Semester: Sem1
Grade: 41.6%
Study Hours: 3
Attendance: 60%"
1	6.3994134506406	50.1	S019 Chemistry Sem1	"Student: S019
Subject: Chemistry
Semester: Sem1
Grade: 50.1%
Study Hours: 8
Attendance: 71%"
1	3.79605302026775	43	S019 Biology Sem1	"Student: S019
Subject: Biology
Semester: Sem1
Grade: 43%
Study Hours: 3
Attendance: 67%"
1	6.3994134506406	50.6	S019 English Sem1	"Student: S019
Subject: English
Semester: Sem1
Grade: 50.6%
Study Hours: 8
Attendance: 63%"
1	5.5921060405355	54.2	S019 History Sem1	"Student: S019
Subject: History
Semester: Sem1
Grade: 54.2%
Study Hours: 6
Attendance: 60%"
1	2	45.9	S019 Mathematics Sem2	"Student: S019
Subject: Mathematics
Semester: Sem2
Grade: 45.9%
Study Hours: 2
Attendance: 60%"
1	4.54000254000381	37.1	S019 Physics Sem2	"Student: S019
Subject: Physics
Semester: Sem2
Grade: 37.1%
Study Hours: 4
Attendance: 66%"
1	5.5921060405355	55.2	S019 Chemistry Sem2	"Student: S019
Subject: Chemistry
Semester: Sem2
Grade: 55.2%
Study Hours: 6
Attendance: 70%"
1	5.5921060405355	46.8	S019 Biology Sem2	"Student: S019
Subject: Biology
Semester: Sem2
Grade: 46.8%
Study Hours: 6
Attendance: 60%"
1	6.3994134506406	50.8	S019 English Sem2	"Student: S019
Subject: English
Semester: Sem2
Grade: 50.8%
Study Hours: 8
Attendance: 66%"
1	7.38815906080325	51.2	S019 History Sem2	"Student: S019
Subject: History
Semester: Sem2
Grade: 51.2%
Study Hours: 11
Attendance: 65%"
1	5.5921060405355	44.6	S019 Mathematics Sem3	"Student: S019
Subject: Mathematics
Semester: Sem3
Grade: 44.6%
Study Hours: 6
Attendance: 65%"
