group	size	x	y	key	tooltip
1	4.44601218802256	18	75.7	S001 Mathematics Sem3	"Student: S001
Subject: Mathematics
Grade: 75.7%
Study Hours: 18
Attendance: 79%"
1	4.44601218802256	13	61.5	S002 Mathematics Sem3	"Student: S002
Subject: Mathematics
Grade: 61.5%
Study Hours: 13
Attendance: 79%"
1	3.23606797749979	10	57.9	S003 Mathematics Sem3	"Student: S003
Subject: Mathematics
Grade: 57.9%
Study Hours: 10
Attendance: 68%"
1	3.62202212042538	11	57.5	S004 Mathematics Sem3	"Student: S004
Subject: Mathematics
Grade: 57.5%
Study Hours: 11
Attendance: 71%"
1	3.62202212042538	17	75.3	S005 Mathematics Sem3	"Student: S005
Subject: Mathematics
Grade: 75.3%
Study Hours: 17
Attendance: 71%"
1	4.53553390593274	12	79.4	S006 Mathematics Sem3	"Student: S006
Subject: Mathematics
Grade: 79.4%
Study Hours: 12
Attendance: 80%"
1	4.16227766016838	10	63.1	S007 Mathematics Sem3	"Student: S007
Subject: Mathematics
Grade: 63.1%
Study Hours: 10
Attendance: 76%"
1	3.62202212042538	12	58.2	S008 Mathematics Sem3	"Student: S008
Subject: Mathematics
Grade: 58.2%
Study Hours: 12
Attendance: 71%"
1	1	2	47.8	S009 Mathematics Sem3	"Student: S009
Subject: Mathematics
Grade: 47.8%
Study Hours: 2
Attendance: 60%"
1	3.09165006633519	9	49.9	S010 Mathematics Sem3	"Student: S010
Subject: Mathematics
Grade: 49.9%
Study Hours: 9
Attendance: 67%"
1	2.36930639376292	2	47.2	S011 Mathematics Sem3	"Student: S011
Subject: Mathematics
Grade: 47.2%
Study Hours: 2
Attendance: 63%"
1	2.93649167310371	9	62.8	S012 Mathematics Sem3	"Student: S012
Subject: Mathematics
Grade: 62.8%
Study Hours: 9
Attendance: 66%"
1	4.35410196624968	12	70.1	S013 Mathematics Sem3	"Student: S013
Subject: Mathematics
Grade: 70.1%
Study Hours: 12
Attendance: 78%"
1	4.16227766016838	19	68.2	S014 Mathematics Sem3	"Student: S014
Subject: Mathematics
Grade: 68.2%
Study Hours: 19
Attendance: 76%"
1	2.58113883008419	2	40	S015 Mathematics Sem3	"Student: S015
Subject: Mathematics
Grade: 40%
Study Hours: 2
Attendance: 64%"
1	3.09165006633519	11	62.1	S016 Mathematics Sem3	"Student: S016
Subject: Mathematics
Grade: 62.1%
Study Hours: 11
Attendance: 67%"
1	1	8	48.1	S017 Mathematics Sem3	"Student: S017
Subject: Mathematics
Grade: 48.1%
Study Hours: 8
Attendance: 60%"
1	3.95803989154981	13	69.8	S018 Mathematics Sem3	"Student: S018
Subject: Mathematics
Grade: 69.8%
Study Hours: 13
Attendance: 74%"
1	2.76776695296637	6	44.6	S019 Mathematics Sem3	"Student: S019
Subject: Mathematics
Grade: 44.6%
Study Hours: 6
Attendance: 65%"
1	2.58113883008419	10	38.9	S020 Mathematics Sem3	"Student: S020
Subject: Mathematics
Grade: 38.9%
Study Hours: 10
Attendance: 64%"
1	4.35410196624968	19	74.9	S021 Mathematics Sem3	"Student: S021
Subject: Mathematics
Grade: 74.9%
Study Hours: 19
Attendance: 78%"
1	4.35410196624968	17	63.5	S022 Mathematics Sem3	"Student: S022
Subject: Mathematics
Grade: 63.5%
Study Hours: 17
Attendance: 78%"
1	4.53553390593274	18	70.1	S023 Mathematics Sem3	"Student: S023
Subject: Mathematics
Grade: 70.1%
Study Hours: 18
Attendance: 80%"
1	4.25960120260132	15	55.1	S024 Mathematics Sem3	"Student: S024
Subject: Mathematics
Grade: 55.1%
Study Hours: 15
Attendance: 77%"
1	3.85043856274785	18	62.8	S025 Mathematics Sem3	"Student: S025
Subject: Mathematics
Grade: 62.8%
Study Hours: 18
Attendance: 73%"
