group	size	y	key	tooltip
1	6.55600355600534	65.4	S040 Mathematics Sem1	"Student: S040
Subject: Mathematics
Semester: Sem1
Grade: 65.4%
Study Hours: 10
Attendance: 76%"
1	7.1697837802689	61.8	S040 Physics Sem1	"Student: S040
Subject: Physics
Semester: Sem1
Grade: 61.8%
Study Hours: 13
Attendance: 80%"
1	7.86925840548177	66.7	S040 Chemistry Sem1	"Student: S040
Subject: Chemistry
Semester: Sem1
Grade: 66.7%
Study Hours: 17
Attendance: 66%"
1	6.77171134256227	61.7	S040 Biology Sem1	"Student: S040
Subject: Biology
Semester: Sem1
Grade: 61.7%
Study Hours: 11
Attendance: 64%"
1	8.48016952881169	80.9	S040 English Sem1	"Student: S040
Subject: English
Semester: Sem1
Grade: 80.9%
Study Hours: 21
Attendance: 90%"
1	8.18372141824148	71.5	S040 History Sem1	"Student: S040
Subject: History
Semester: Sem1
Grade: 71.5%
Study Hours: 19
Attendance: 77%"
1	6.07958941544842	69.3	S040 Mathematics Sem2	"Student: S040
Subject: Mathematics
Semester: Sem2
Grade: 69.3%
Study Hours: 8
Attendance: 79%"
1	6.97573283972945	65.2	S040 Physics Sem2	"Student: S040
Subject: Physics
Semester: Sem2
Grade: 65.2%
Study Hours: 12
Attendance: 74%"
1	7.70415053522573	71.3	S040 Chemistry Sem2	"Student: S040
Subject: Chemistry
Semester: Sem2
Grade: 71.3%
Study Hours: 16
Attendance: 76%"
1	7.86925840548177	69.1	S040 Biology Sem2	"Student: S040
Subject: Biology
Semester: Sem2
Grade: 69.1%
Study Hours: 17
Attendance: 68%"
1	8.18372141824148	77.7	S040 English Sem2	"Student: S040
Subject: English
Semester: Sem2
Grade: 77.7%
Study Hours: 19
Attendance: 71%"
1	7.1697837802689	78.3	S040 History Sem2	"Student: S040
Subject: History
Semester: Sem2
Grade: 78.3%
Study Hours: 13
Attendance: 82%"
1	6.55600355600534	59.4	S040 Mathematics Sem3	"Student: S040
Subject: Mathematics
Semester: Sem3
Grade: 59.4%
Study Hours: 10
Attendance: 69%"
1	5.81126765115875	61.2	S040 Physics Sem3	"Student: S040
Subject: Physics
Semester: Sem3
Grade: 61.2%
Study Hours: 7
Attendance: 74%"
1	6.97573283972945	66.9	S040 Chemistry Sem3	"Student: S040
Subject: Chemistry
Semester: Sem3
Grade: 66.9%
Study Hours: 12
Attendance: 69%"
1	7.53303288061913	65.7	S040 Biology Sem3	"Student: S040
Subject: Biology
Semester: Sem3
Grade: 65.7%
Study Hours: 15
Attendance: 68%"
1	6.32633674318044	76.9	S040 English Sem3	"Student: S040
Subject: English
Semester: Sem3
Grade: 76.9%
Study Hours: 9
Attendance: 79%"
1	6.97573283972945	69.9	S040 History Sem3	"Student: S040
Subject: History
Semester: Sem3
Grade: 69.9%
Study Hours: 12
Attendance: 74%"
1	6.77171134256227	65.7	S040 Mathematics Sem4	"Student: S040
Subject: Mathematics
Semester: Sem4
Grade: 65.7%
Study Hours: 11
Attendance: 74%"
1	8.0289484567497	69	S040 Physics Sem4	"Student: S040
Subject: Physics
Semester: Sem4
Grade: 69%
Study Hours: 18
Attendance: 70%"
