group	size	x	y	key	tooltip
1	10.0622577482986	20	77.1	S001 Mathematics Sem5	"Student: S001
Subject: Mathematics
Grade: 77.1%
Study Hours: 20
Attendance: 86%
Performance: Good"
1	6.74341649025257	15	75	S002 Mathematics Sem5	"Student: S002
Subject: Mathematics
Grade: 75%
Study Hours: 15
Attendance: 69%
Performance: Satisfactory"
1	7.24404424085076	2	52.8	S003 Mathematics Sem5	"Student: S003
Subject: Mathematics
Grade: 52.8%
Study Hours: 2
Attendance: 71%
Performance: Needs Improvement"
1	8.51920240520265	13	62.4	S004 Mathematics Sem5	"Student: S004
Subject: Mathematics
Grade: 62.4%
Study Hours: 13
Attendance: 77%
Performance: Satisfactory"
1	7.91607978309962	11	71.7	S005 Mathematics Sem5	"Student: S005
Subject: Mathematics
Grade: 71.7%
Study Hours: 11
Attendance: 74%
Performance: Satisfactory"
1	8.89202437604511	15	77.4	S006 Mathematics Sem5	"Student: S006
Subject: Mathematics
Grade: 77.4%
Study Hours: 15
Attendance: 79%
Performance: Good"
1	10.0622577482986	14	76.4	S007 Mathematics Sem5	"Student: S007
Subject: Mathematics
Grade: 76.4%
Study Hours: 14
Attendance: 86%
Performance: Good"
1	7.47722557505166	11	62.6	S008 Mathematics Sem5	"Student: S008
Subject: Mathematics
Grade: 62.6%
Study Hours: 11
Attendance: 72%
Performance: Satisfactory"
1	6.47213595499958	7	53.7	S009 Mathematics Sem5	"Student: S009
Subject: Mathematics
Grade: 53.7%
Study Hours: 7
Attendance: 68%
Performance: Needs Improvement"
1	7	7	52.3	S010 Mathematics Sem5	"Student: S010
Subject: Mathematics
Grade: 52.3%
Study Hours: 7
Attendance: 70%
Performance: Needs Improvement"
1	2	2	42.5	S011 Mathematics Sem5	"Student: S011
Subject: Mathematics
Grade: 42.5%
Study Hours: 2
Attendance: 60%
Performance: Needs Improvement"
1	7.91607978309962	10	66.2	S012 Mathematics Sem5	"Student: S012
Subject: Mathematics
Grade: 66.2%
Study Hours: 10
Attendance: 74%
Performance: Satisfactory"
1	6.47213595499958	13	66	S013 Mathematics Sem5	"Student: S013
Subject: Mathematics
Grade: 66%
Study Hours: 13
Attendance: 68%
Performance: Satisfactory"
1	7.24404424085076	11	59.6	S014 Mathematics Sem5	"Student: S014
Subject: Mathematics
Grade: 59.6%
Study Hours: 11
Attendance: 71%
Performance: Needs Improvement"
1	2	5	32.1	S015 Mathematics Sem5	"Student: S015
Subject: Mathematics
Grade: 32.1%
Study Hours: 5
Attendance: 60%
Performance: Needs Improvement"
1	8.32455532033676	13	69.4	S016 Mathematics Sem5	"Student: S016
Subject: Mathematics
Grade: 69.4%
Study Hours: 13
Attendance: 76%
Performance: Satisfactory"
1	7	10	53.5	S017 Mathematics Sem5	"Student: S017
Subject: Mathematics
Grade: 53.5%
Study Hours: 10
Attendance: 70%
Performance: Needs Improvement"
1	8.51920240520265	13	66.5	S018 Mathematics Sem5	"Student: S018
Subject: Mathematics
Grade: 66.5%
Study Hours: 13
Attendance: 77%
Performance: Satisfactory"
1	5.53553390593274	3	47.2	S019 Mathematics Sem5	"Student: S019
Subject: Mathematics
Grade: 47.2%
Study Hours: 3
Attendance: 65%
Performance: Needs Improvement"
1	5.87298334620742	8	49.7	S020 Mathematics Sem5	"Student: S020
Subject: Mathematics
Grade: 49.7%
Study Hours: 8
Attendance: 66%
Performance: Needs Improvement"
1	8.32455532033676	16	76	S021 Mathematics Sem5	"Student: S021
Subject: Mathematics
Grade: 76%
Study Hours: 16
Attendance: 76%
Performance: Good"
1	8.70820393249937	12	71.4	S022 Mathematics Sem5	"Student: S022
Subject: Mathematics
Grade: 71.4%
Study Hours: 12
Attendance: 78%
Performance: Satisfactory"
1	10.3666002653408	14	87.6	S023 Mathematics Sem5	"Student: S023
Subject: Mathematics
Grade: 87.6%
Study Hours: 14
Attendance: 88%
Performance: Excellent"
1	8.70820393249937	12	67.9	S024 Mathematics Sem5	"Student: S024
Subject: Mathematics
Grade: 67.9%
Study Hours: 12
Attendance: 78%
Performance: Satisfactory"
1	5.87298334620742	6	69.3	S025 Mathematics Sem5	"Student: S025
Subject: Mathematics
Grade: 69.3%
Study Hours: 6
Attendance: 66%
Performance: Satisfactory"
1	7.24404424085076	4	56.6	S026 Mathematics Sem5	"Student: S026
Subject: Mathematics
Grade: 56.6%
Study Hours: 4
Attendance: 71%
Performance: Needs Improvement"
1	5.87298334620742	7	62.4	S027 Mathematics Sem5	"Student: S027
Subject: Mathematics
Grade: 62.4%
Study Hours: 7
Attendance: 66%
Performance: Satisfactory"
1	7.70087712549569	14	74.3	S028 Mathematics Sem5	"Student: S028
Subject: Mathematics
Grade: 74.3%
Study Hours: 14
Attendance: 73%
Performance: Satisfactory"
1	2	2	40.9	S029 Mathematics Sem5	"Student: S029
Subject: Mathematics
Grade: 40.9%
Study Hours: 2
Attendance: 60%
Performance: Needs Improvement"
1	7.47722557505166	11	58.4	S030 Mathematics Sem5	"Student: S030
Subject: Mathematics
Grade: 58.4%
Study Hours: 11
Attendance: 72%
Performance: Needs Improvement"
1	7	10	49	S031 Mathematics Sem5	"Student: S031
Subject: Mathematics
Grade: 49%
Study Hours: 10
Attendance: 70%
Performance: Needs Improvement"
1	6.74341649025257	9	55.4	S032 Mathematics Sem5	"Student: S032
Subject: Mathematics
Grade: 55.4%
Study Hours: 9
Attendance: 69%
Performance: Needs Improvement"
1	5.53553390593274	14	65.8	S033 Mathematics Sem5	"Student: S033
Subject: Mathematics
Grade: 65.8%
Study Hours: 14
Attendance: 65%
Performance: Satisfactory"
1	7.24404424085076	23	73.5	S034 Mathematics Sem5	"Student: S034
Subject: Mathematics
Grade: 73.5%
Study Hours: 23
Attendance: 71%
Performance: Satisfactory"
1	8.12372435695795	13	71.2	S035 Mathematics Sem5	"Student: S035
Subject: Mathematics
Grade: 71.2%
Study Hours: 13
Attendance: 75%
Performance: Satisfactory"
1	9.24568837309472	16	75.6	S036 Mathematics Sem5	"Student: S036
Subject: Mathematics
Grade: 75.6%
Study Hours: 16
Attendance: 81%
Performance: Good"
1	9.74596669241483	16	78.4	S037 Mathematics Sem5	"Student: S037
Subject: Mathematics
Grade: 78.4%
Study Hours: 16
Attendance: 84%
Performance: Good"
